year,date,exp,site,plot_code,trt_code,program,variety,count_0.5m_1,count_0.5m_2,vis_rating,notes,stand_rating
2023,9/20/2023,VAR23,Becker,1209,12,MN,1905,19,23,9,,
2023,9/20/2023,VAR23,Becker,1210,18,TLI,801,15,17,6,,
2023,9/20/2023,VAR23,Becker,1211,19,TLI,704,14,15,9,,
2023,9/20/2023,VAR23,Becker,1212,16,MN,2204,1,2,2,,
2023,9/20/2023,VAR23,Becker,1213,20,TLI,1001,9,6,2,,
2023,9/20/2023,VAR23,Becker,1214,6,MN,1802,9,11,5,,
2023,9/20/2023,VAR23,Becker,1215,3,MN,1605,29,17,6,,
2023,9/20/2023,VAR23,Becker,1216,13,MN,2201,10,11,7,,
2023,9/20/2023,VAR23,Becker,1217,1,MN,1504,8,4,9,,
2023,9/20/2023,VAR23,Becker,1218,14,MN,2202,7,10,6,,
2023,9/20/2023,VAR23,Becker,1219,5,MN,2206,16,10,7,,
2023,9/20/2023,VAR23,Becker,1220,15,MN,2203,11,12,4,,
2023,9/20/2023,VAR23,Becker,1301,19,TLI,704,17,28,10,,
2023,9/20/2023,VAR23,Becker,1302,9,MN,1902,2,7,4,,
2023,9/20/2023,VAR23,Becker,1303,4,MN,2205,7,7,2,,
2023,9/20/2023,VAR23,Becker,1304,15,MN,2203,11,5,4,,
2023,9/20/2023,VAR23,Becker,1305,17,TLI,701,17,23,5,,
2023,9/20/2023,VAR23,Becker,1306,2,MN,1603,23,19,6,,
2023,9/20/2023,VAR23,Becker,1307,16,MN,2204,5,6,8,,
2023,9/20/2023,VAR23,Becker,1308,12,MN,1905,26,15,7,,
2023,9/20/2023,VAR23,Becker,1309,3,MN,1605,23,24,8,,
2023,9/20/2023,VAR23,Becker,1310,10,MN,1903,20,14,7,,
2023,9/20/2023,VAR23,Becker,1311,7,MN,1803,9,5,9,,
2023,9/20/2023,VAR23,Becker,1312,13,MN,2201,4,2,3,,
2023,9/20/2023,VAR23,Becker,1313,14,MN,2202,3,1,2,,
2023,9/20/2023,VAR23,Becker,1314,1,MN,1504,7,5,7,,
2023,9/20/2023,VAR23,Becker,1315,8,MN,1901,10,11,3,,
2023,9/20/2023,VAR23,Becker,1316,11,MN,1904,4,21,6,,
2023,9/20/2023,VAR23,Becker,1317,18,TLI,801,6,6,8,,
2023,9/20/2023,VAR23,Becker,1318,6,MN,1802,22,13,6,,
2023,9/20/2023,VAR23,Becker,1319,20,TLI,1001,5,1,5,,
2023,9/20/2023,VAR23,Becker,1320,5,MN,2206,6,8,1,,
2023,9/20/2023,VAR23,Becker,1401,13,MN,2201,12,5,8,,
2023,9/20/2023,VAR23,Becker,1402,15,MN,2203,5,3,2,,
2023,9/20/2023,VAR23,Becker,1403,16,MN,2204,9,12,9,,
2023,9/20/2023,VAR23,Becker,1404,7,MN,1803,21,19,7,,
2023,9/20/2023,VAR23,Becker,1405,17,TLI,701,9,6,4,,
2023,9/20/2023,VAR23,Becker,1406,10,MN,1903,24,12,6,,
2023,9/20/2023,VAR23,Becker,1407,19,TLI,704,20,17,8,,
2023,9/20/2023,VAR23,Becker,1408,4,MN,2205,7,3,2,,
2023,9/20/2023,VAR23,Becker,1409,3,MN,1605,15,18,9,,
2023,9/20/2023,VAR23,Becker,1410,20,TLI,1001,6,3,1,,
2023,9/20/2023,VAR23,Becker,1411,9,MN,1902,18,2,7,,
2023,9/20/2023,VAR23,Becker,1412,6,MN,1802,16,8,7,,
2023,9/20/2023,VAR23,Becker,1413,1,MN,1504,23,40,10,,
2023,9/20/2023,VAR23,Becker,1414,12,MN,1905,20,13,6,,
2023,9/20/2023,VAR23,Becker,1415,18,TLI,801,25,16,7,,
2023,9/20/2023,VAR23,Becker,1416,2,MN,1603,25,27,7,,
2023,9/20/2023,VAR23,Becker,1417,11,MN,1904,20,13,10,,
2023,9/20/2023,VAR23,Becker,1418,8,MN,1901,7,3,3,,
2023,9/20/2023,VAR23,Becker,1419,5,MN,2206,11,15,5,,
2023,9/20/2023,VAR23,Becker,1420,14,MN,2202,12,8,2,,
2023,10/5/2023,VAR23,Rosemount,2101,4,MN,2205,9,14,,,
2023,10/5/2023,VAR23,Rosemount,2102,12,MN,1905,10,20,,,
2023,10/5/2023,VAR23,Rosemount,2103,15,MN,2203,5,11,,,
2023,10/5/2023,VAR23,Rosemount,2104,13,MN,2201,11,10,,,
2023,10/5/2023,VAR23,Rosemount,2105,3,MN,1605,20,20,,,
2023,10/5/2023,VAR23,Rosemount,2106,16,MN,2204,16,28,,,
2023,10/5/2023,VAR23,Rosemount,2107,5,MN,2206,17,14,,,
2023,10/5/2023,VAR23,Rosemount,2108,20,TLI,1001,3,8,,,
2023,10/5/2023,VAR23,Rosemount,2109,18,TLI,801,20,17,,,
2023,10/5/2023,VAR23,Rosemount,2110,1,MN,1504,32,34,,,
2023,10/5/2023,VAR23,Rosemount,2111,14,MN,2202,4,16,,,
2023,10/5/2023,VAR23,Rosemount,2112,19,TLI,704,19,19,,,
2023,10/5/2023,VAR23,Rosemount,2113,6,MN,1802,33,20,,,
2023,10/5/2023,VAR23,Rosemount,2114,2,MN,1603,23,22,,,
2023,10/5/2023,VAR23,Rosemount,2115,9,MN,1902,20,10,,,
2023,10/5/2023,VAR23,Rosemount,2116,8,MN,1901,9,11,,,
2023,10/5/2023,VAR23,Rosemount,2117,10,MN,1903,23,13,,,
2023,10/5/2023,VAR23,Rosemount,2118,7,MN,1803,15,22,,,
2023,10/5/2023,VAR23,Rosemount,2119,17,TLI,701,17,12,,,
2023,10/5/2023,VAR23,Rosemount,2120,11,MN,1904,30,10,,,
2023,10/5/2023,VAR23,Rosemount,2201,6,MN,1802,8,21,,,
2023,10/5/2023,VAR23,Rosemount,2202,14,MN,2202,4,20,,,
2023,10/5/2023,VAR23,Rosemount,2203,9,MN,1902,34,24,,,
2023,10/5/2023,VAR23,Rosemount,2204,20,TLI,1001,4,3,,,
2023,10/5/2023,VAR23,Rosemount,2205,8,MN,1901,7,6,,,
2023,10/5/2023,VAR23,Rosemount,2206,5,MN,2206,16,15,,,
2023,10/5/2023,VAR23,Rosemount,2207,19,TLI,704,23,13,,pink iwg plant,
2023,10/5/2023,VAR23,Rosemount,2208,1,MN,1504,23,17,,,
2023,10/5/2023,VAR23,Rosemount,2209,18,TLI,801,20,9,,,
2023,10/5/2023,VAR23,Rosemount,2210,17,TLI,701,17,15,,,
2023,10/5/2023,VAR23,Rosemount,2211,4,MN,2205,16,4,,,
2023,10/5/2023,VAR23,Rosemount,2212,12,MN,1905,17,11,,,
2023,10/5/2023,VAR23,Rosemount,2213,2,MN,1603,41,25,,,
2023,10/5/2023,VAR23,Rosemount,2214,11,MN,1904,23,25,,,
2023,10/5/2023,VAR23,Rosemount,2215,7,MN,1803,23,19,,,
2023,10/5/2023,VAR23,Rosemount,2216,16,MN,2204,16,14,,,
2023,10/5/2023,VAR23,Rosemount,2217,3,MN,1605,17,16,,,
2023,10/5/2023,VAR23,Rosemount,2218,10,MN,1903,11,14,,,
2023,10/5/2023,VAR23,Rosemount,2219,13,MN,2201,17,12,,,
2023,10/5/2023,VAR23,Rosemount,2220,15,MN,2203,12,7,,,
2023,10/5/2023,VAR23,Rosemount,2301,2,MN,1603,21,25,,,
2023,10/5/2023,VAR23,Rosemount,2302,3,MN,1605,16,22,,,
2023,10/5/2023,VAR23,Rosemount,2303,13,MN,2201,22,10,,,
2023,10/5/2023,VAR23,Rosemount,2304,12,MN,1905,18,20,,,
2023,10/5/2023,VAR23,Rosemount,2305,9,MN,1902,15,10,,,
2023,10/5/2023,VAR23,Rosemount,2306,15,MN,2203,13,15,,,
2023,10/5/2023,VAR23,Rosemount,2307,14,MN,2202,9,4,,,
2023,10/5/2023,VAR23,Rosemount,2308,20,TLI,1001,6,5,,,
2023,10/5/2023,VAR23,Rosemount,2309,5,MN,2206,9,14,,,
2023,10/5/2023,VAR23,Rosemount,2310,16,MN,2204,7,7,,,
2023,10/5/2023,VAR23,Rosemount,2311,8,MN,1901,14,17,,,
2023,10/5/2023,VAR23,Rosemount,2312,7,MN,1803,15,26,,,
2023,10/5/2023,VAR23,Rosemount,2313,4,MN,2205,10,5,,,
2023,10/5/2023,VAR23,Rosemount,2314,17,TLI,701,21,10,,,
2023,10/5/2023,VAR23,Rosemount,2315,19,TLI,704,20,11,,,
2023,10/5/2023,VAR23,Rosemount,2316,10,MN,1903,22,30,,,
2023,10/5/2023,VAR23,Rosemount,2317,1,MN,1504,33,11,,,
2023,10/5/2023,VAR23,Rosemount,2318,6,MN,1802,23,13,,,
2023,10/5/2023,VAR23,Rosemount,2319,11,MN,1904,13,4,,,
2023,10/5/2023,VAR23,Rosemount,2320,18,TLI,801,3,3,,,
2023,10/5/2023,VAR23,Rosemount,2401,10,MN,1903,15,21,,,
2023,10/5/2023,VAR23,Rosemount,2402,14,MN,2202,16,9,,,
2023,10/5/2023,VAR23,Rosemount,2403,18,TLI,801,24,21,,,
2023,10/5/2023,VAR23,Rosemount,2404,1,MN,1504,19,30,,,
2023,10/5/2023,VAR23,Rosemount,2405,4,MN,2205,16,3,,white iwg plant,
2023,10/5/2023,VAR23,Rosemount,2406,5,MN,2206,7,22,,,
2023,10/5/2023,VAR23,Rosemount,2407,20,TLI,1001,8,7,,,
2023,10/5/2023,VAR23,Rosemount,2408,12,MN,1905,16,5,,,
2023,10/5/2023,VAR23,Rosemount,2409,6,MN,1802,12,20,,,
2023,10/5/2023,VAR23,Rosemount,2410,16,MN,2204,14,10,,,
2023,10/5/2023,VAR23,Rosemount,2411,7,MN,1803,19,19,,,
2023,10/5/2023,VAR23,Rosemount,2412,11,MN,1904,29,20,,,
2023,10/5/2023,VAR23,Rosemount,2413,15,MN,2203,13,9,,,
2023,10/5/2023,VAR23,Rosemount,2414,9,MN,1902,22,25,,,
2023,10/5/2023,VAR23,Rosemount,2415,13,MN,2201,20,17,,,
2023,10/5/2023,VAR23,Rosemount,2416,2,MN,1603,36,22,,,
2023,10/5/2023,VAR23,Rosemount,2417,17,TLI,701,24,22,,,
2023,10/5/2023,VAR23,Rosemount,2418,8,MN,1901,9,10,,,
2023,10/5/2023,VAR23,Rosemount,2419,3,MN,1605,16,12,,,
2023,10/5/2023,VAR23,Rosemount,2420,19,TLI,704,20,18,,,
2023,10/18/2023,VAR23,Waseca,3101,16,MN,2204,15,2,,,
2023,10/18/2023,VAR23,Waseca,3102,13,MN,2201,4,5,,,
2023,10/18/2023,VAR23,Waseca,3103,17,TLI,701,3,2,,,
2023,10/18/2023,VAR23,Waseca,3104,15,MN,2203,4,2,,,
2023,10/18/2023,VAR23,Waseca,3105,9,MN,1902,6,7,,,
2023,10/18/2023,VAR23,Waseca,3106,4,MN,2205,5,2,,,
2023,10/18/2023,VAR23,Waseca,3107,19,TLI,704,4,6,,,
2023,10/18/2023,VAR23,Waseca,3108,14,MN,2202,8,4,,,
2023,10/18/2023,VAR23,Waseca,3109,12,MN,1905,7,forgot to write down,,,
2023,10/18/2023,VAR23,Waseca,3110,10,MN,1903,7,2,,,
2023,10/18/2023,VAR23,Waseca,3111,8,MN,1901,5,6,,,
2023,10/18/2023,VAR23,Waseca,3112,3,MN,1605,3,3,,,
2023,10/18/2023,VAR23,Waseca,3113,6,MN,1802,9,3,,,
2023,10/18/2023,VAR23,Waseca,3114,20,TLI,1001,7,4,,,
2023,10/18/2023,VAR23,Waseca,3115,18,TLI,801,7,0,,,
2023,10/18/2023,VAR23,Waseca,3116,5,MN,2206,10,8,,,
2023,10/18/2023,VAR23,Waseca,3117,1,MN,1504,5,1,,,
2023,10/18/2023,VAR23,Waseca,3118,7,MN,1803,3,forgot to write down,,,
2023,10/18/2023,VAR23,Waseca,3119,2,MN,1603,3,1,,,
2023,10/18/2023,VAR23,Waseca,3120,11,MN,1904,4,1,,,
2023,10/18/2023,VAR23,Waseca,3201,11,MN,1904,8,3,,,
2023,10/18/2023,VAR23,Waseca,3202,13,MN,2201,8,1,,,
2023,10/18/2023,VAR23,Waseca,3203,17,TLI,701,5,8,,,
2023,10/18/2023,VAR23,Waseca,3204,16,MN,2204,4,1,,,
2023,10/18/2023,VAR23,Waseca,3205,10,MN,1903,5,0,,,
2023,10/18/2023,VAR23,Waseca,3206,9,MN,1902,16,6,,,
2023,10/18/2023,VAR23,Waseca,3207,14,MN,2202,11,2,,,
2023,10/18/2023,VAR23,Waseca,3208,3,MN,1605,4,6,,,
2023,10/18/2023,VAR23,Waseca,3209,8,MN,1901,5,0,,,
2023,10/18/2023,VAR23,Waseca,3210,7,MN,1803,3,2,,,
2023,10/18/2023,VAR23,Waseca,3211,1,MN,1504,4,1,,,
2023,10/18/2023,VAR23,Waseca,3212,5,MN,2206,3,2,,,
2023,10/18/2023,VAR23,Waseca,3213,2,MN,1603,5,1,,,
2023,10/18/2023,VAR23,Waseca,3214,15,MN,2203,10,1,,,
2023,10/18/2023,VAR23,Waseca,3215,4,MN,2205,7,0,,,
2023,10/18/2023,VAR23,Waseca,3216,20,TLI,1001,7,9,,,
2023,10/18/2023,VAR23,Waseca,3217,18,TLI,801,14,6,,,
2023,10/18/2023,VAR23,Waseca,3218,12,MN,1905,7,3,,,
2023,10/18/2023,VAR23,Waseca,3219,6,MN,1802,13,3,,,
2023,10/18/2023,VAR23,Waseca,3220,19,TLI,704,9,4,,,
2023,10/18/2023,VAR23,Waseca,3301,9,MN,1902,7,4,,,
2023,10/18/2023,VAR23,Waseca,3302,19,TLI,704,4,1,,,
2023,10/18/2023,VAR23,Waseca,3303,8,MN,1901,6,3,,,
2023,10/18/2023,VAR23,Waseca,3304,7,MN,1803,7,4,,,
2023,10/18/2023,VAR23,Waseca,3305,4,MN,2205,4,0,,,
2023,10/18/2023,VAR23,Waseca,3306,20,TLI,1001,4,3,,,
2023,10/18/2023,VAR23,Waseca,3307,12,MN,1905,3,1,,,
2023,10/18/2023,VAR23,Waseca,3308,16,MN,2204,3,2,,,
2023,10/18/2023,VAR23,Waseca,3309,10,MN,1903,3,7,,,
2023,10/18/2023,VAR23,Waseca,3310,3,MN,1605,5,9,,,
2023,10/18/2023,VAR23,Waseca,3311,5,MN,2206,6,8,,,
2023,10/18/2023,VAR23,Waseca,3312,15,MN,2203,2,1,,,
2023,10/18/2023,VAR23,Waseca,3313,2,MN,1603,7,6,,,
2023,10/18/2023,VAR23,Waseca,3314,17,TLI,701,6,2,,,
2023,10/18/2023,VAR23,Waseca,3315,6,MN,1802,2,1,,,
2023,10/18/2023,VAR23,Waseca,3316,14,MN,2202,7,5,,,
2023,10/18/2023,VAR23,Waseca,3317,18,TLI,801,5,2,,,
2023,10/18/2023,VAR23,Waseca,3318,13,MN,2201,5,1,,,
2023,10/18/2023,VAR23,Waseca,3319,1,MN,1504,6,5,,,
2023,10/18/2023,VAR23,Waseca,3320,11,MN,1904,0,3,,,
2023,10/18/2023,VAR23,Waseca,3401,15,MN,2203,14,3,,,
2023,10/18/2023,VAR23,Waseca,3402,7,MN,1803,5,5,,,
2023,10/18/2023,VAR23,Waseca,3403,8,MN,1901,6,2,,,
2023,10/18/2023,VAR23,Waseca,3404,18,TLI,801,9,1,,,
2023,10/18/2023,VAR23,Waseca,3405,19,TLI,704,4,0,,,
2023,10/18/2023,VAR23,Waseca,3406,17,TLI,701,4,2,,,
2023,10/18/2023,VAR23,Waseca,3407,9,MN,1902,3,5,,,
2023,10/18/2023,VAR23,Waseca,3408,1,MN,1504,6,4,,,
2023,10/18/2023,VAR23,Waseca,3409,14,MN,2202,9,3,,,
2023,10/18/2023,VAR23,Waseca,3410,12,MN,1905,3,2,,,
2023,10/18/2023,VAR23,Waseca,3411,3,MN,1605,5,7,,,
2023,10/18/2023,VAR23,Waseca,3412,10,MN,1903,7,3,,,
2023,10/18/2023,VAR23,Waseca,3413,20,TLI,1001,3,1,,,
2023,10/18/2023,VAR23,Waseca,3414,6,MN,1802,5,3,,,
2023,10/18/2023,VAR23,Waseca,3415,13,MN,2201,3,6,,,
2023,10/18/2023,VAR23,Waseca,3416,5,MN,2206,7,1,,,
2023,10/18/2023,VAR23,Waseca,3417,16,MN,2204,7,4,,,
2023,10/18/2023,VAR23,Waseca,3418,4,MN,2205,3,2,,,
2023,10/18/2023,VAR23,Waseca,3419,11,MN,1904,3,3,,,
2023,10/18/2023,VAR23,Waseca,3420,2,MN,1603,7,2,,,
2024,6/5/2024,VAR23,Waseca,3101,16,MN,2204,,,,downy brome now emerged,8
2024,6/5/2024,VAR23,Waseca,3102,13,MN,2201,,,,,6
2024,6/5/2024,VAR23,Waseca,3103,17,TLI,701,,,,,2
2024,6/5/2024,VAR23,Waseca,3104,15,MN,2203,,,,,8
2024,6/5/2024,VAR23,Waseca,3105,9,MN,1902,,,,,3
2024,6/5/2024,VAR23,Waseca,3106,4,MN,2205,,,,,7
2024,6/5/2024,VAR23,Waseca,3107,19,TLI,704,,,,,8
2024,6/5/2024,VAR23,Waseca,3108,14,MN,2202,,,,,2
2024,6/5/2024,VAR23,Waseca,3109,12,MN,1905,,,,,8
2024,6/5/2024,VAR23,Waseca,3110,10,MN,1903,,,,,7
2024,6/5/2024,VAR23,Waseca,3111,8,MN,1901,,,,,7
2024,6/5/2024,VAR23,Waseca,3112,3,MN,1605,,,,,5
2024,6/5/2024,VAR23,Waseca,3113,6,MN,1802,,,,,9
2024,6/5/2024,VAR23,Waseca,3114,20,TLI,1001,,,,,7
2024,6/5/2024,VAR23,Waseca,3115,18,TLI,801,,,,,6
2024,6/5/2024,VAR23,Waseca,3116,5,MN,2206,,,,,6
2024,6/5/2024,VAR23,Waseca,3117,1,MN,1504,,,,,1
2024,6/5/2024,VAR23,Waseca,3118,7,MN,1803,,,,,2
2024,6/5/2024,VAR23,Waseca,3119,2,MN,1603,,,,,6
2024,6/5/2024,VAR23,Waseca,3120,11,MN,1904,,,,,2
2024,6/5/2024,VAR23,Waseca,3201,11,MN,1904,,,,,6
2024,6/5/2024,VAR23,Waseca,3202,13,MN,2201,,,,,10
2024,6/5/2024,VAR23,Waseca,3203,17,TLI,701,,,,,5
2024,6/5/2024,VAR23,Waseca,3204,16,MN,2204,,,,,9
2024,6/5/2024,VAR23,Waseca,3205,10,MN,1903,,,,,4
2024,6/5/2024,VAR23,Waseca,3206,9,MN,1902,,,,,10
2024,6/5/2024,VAR23,Waseca,3207,14,MN,2202,,,,,8
2024,6/5/2024,VAR23,Waseca,3208,3,MN,1605,,,,,10
2024,6/5/2024,VAR23,Waseca,3209,8,MN,1901,,,,,4
2024,6/5/2024,VAR23,Waseca,3210,7,MN,1803,,,,,4
2024,6/5/2024,VAR23,Waseca,3211,1,MN,1504,,,,,5
2024,6/5/2024,VAR23,Waseca,3212,5,MN,2206,,,,,5
2024,6/5/2024,VAR23,Waseca,3213,2,MN,1603,,,,,4
2024,6/5/2024,VAR23,Waseca,3214,15,MN,2203,,,,,7
2024,6/5/2024,VAR23,Waseca,3215,4,MN,2205,,,,,6
2024,6/5/2024,VAR23,Waseca,3216,20,TLI,1001,,,,,10
2024,6/5/2024,VAR23,Waseca,3217,18,TLI,801,,,,,10
2024,6/5/2024,VAR23,Waseca,3218,12,MN,1905,,,,,4
2024,6/5/2024,VAR23,Waseca,3219,6,MN,1802,,,,,8
2024,6/5/2024,VAR23,Waseca,3220,19,TLI,704,,,,,8
2024,6/5/2024,VAR23,Waseca,3301,9,MN,1902,,,,,4
2024,6/5/2024,VAR23,Waseca,3302,19,TLI,704,,,,,10
2024,6/5/2024,VAR23,Waseca,3303,8,MN,1901,,,,,4
2024,6/5/2024,VAR23,Waseca,3304,7,MN,1803,,,,,3
2024,6/5/2024,VAR23,Waseca,3305,4,MN,2205,,,,,2
2024,6/5/2024,VAR23,Waseca,3306,20,TLI,1001,,,,,2
2024,6/5/2024,VAR23,Waseca,3307,12,MN,1905,,,,,7
2024,6/5/2024,VAR23,Waseca,3308,16,MN,2204,,,,,5
2024,6/5/2024,VAR23,Waseca,3309,10,MN,1903,,,,,7
2024,6/5/2024,VAR23,Waseca,3310,3,MN,1605,,,,,8
2024,6/5/2024,VAR23,Waseca,3311,5,MN,2206,,,,,7
2024,6/5/2024,VAR23,Waseca,3312,15,MN,2203,,,,,1
2024,6/5/2024,VAR23,Waseca,3313,2,MN,1603,,,,,6
2024,6/5/2024,VAR23,Waseca,3314,17,TLI,701,,,,,4
2024,6/5/2024,VAR23,Waseca,3315,6,MN,1802,,,,,6
2024,6/5/2024,VAR23,Waseca,3316,14,MN,2202,,,,,10
2024,6/5/2024,VAR23,Waseca,3317,18,TLI,801,,,,,5
2024,6/5/2024,VAR23,Waseca,3318,13,MN,2201,,,,,8
2024,6/5/2024,VAR23,Waseca,3319,1,MN,1504,,,,,5
2024,6/5/2024,VAR23,Waseca,3320,11,MN,1904,,,,,7
2024,6/5/2024,VAR23,Waseca,3401,15,MN,2203,,,,,9
2024,6/5/2024,VAR23,Waseca,3402,7,MN,1803,,,,,9
2024,6/5/2024,VAR23,Waseca,3403,8,MN,1901,,,,,4
2024,6/5/2024,VAR23,Waseca,3404,18,TLI,801,,,,,5
2024,6/5/2024,VAR23,Waseca,3405,19,TLI,704,,,,,4
2024,6/5/2024,VAR23,Waseca,3406,17,TLI,701,,,,,3
2024,6/5/2024,VAR23,Waseca,3407,9,MN,1902,,,,,1
2024,6/5/2024,VAR23,Waseca,3408,1,MN,1504,,,,,8
2024,6/5/2024,VAR23,Waseca,3409,14,MN,2202,,,,,9
2024,6/5/2024,VAR23,Waseca,3410,12,MN,1905,,,,,1
2024,6/5/2024,VAR23,Waseca,3411,3,MN,1605,,,,,8
2024,6/5/2024,VAR23,Waseca,3412,10,MN,1903,,,,,7
2024,6/5/2024,VAR23,Waseca,3413,20,TLI,1001,,,,,6
2024,6/5/2024,VAR23,Waseca,3414,6,MN,1802,,,,,6
2024,6/5/2024,VAR23,Waseca,3415,13,MN,2201,,,,,7
2024,6/5/2024,VAR23,Waseca,3416,5,MN,2206,,,,,9
2024,6/5/2024,VAR23,Waseca,3417,16,MN,2204,,,,,6
2024,6/5/2024,VAR23,Waseca,3418,4,MN,2205,,,,,5
2024,6/5/2024,VAR23,Waseca,3419,11,MN,1904,,,,,3
2024,6/5/2024,VAR23,Waseca,3420,2,MN,1603,,,,,3
