experiment,plot,id,treatment,date,canopy_percent,adjustment
cct,403,9,winter wheat,2024-11-14,27.46,1.1
cct,404,8,winter rye 1,2024-11-14,56.8,1.1
cct,405,4,winter barley 4,2024-11-14,54.25,1.1
cct,406,2,winter barley 2,2024-11-14,44.1,1.1
cct,407,13,IWG-WW,2024-11-14,6.72,1.1
cct,408,10,IWG,2024-11-14,4.04,1.1
cct,409,1,winter barley 1,2024-11-14,44.08,1.1
cct,410,7,winter durum 2,2024-11-14,24.55,1.1
cct,411,5,winter barley 5,2024-11-14,49.44,1.1
cct,412,3,winter barley 3,2024-11-14,52.99,1.1
cct,border,8,winter rye 1,2024-11-14,47.67,1.1
cct,border,8,winter rye 1,2024-11-14,48.69,1.1
cct,border,8,winter rye 1,2024-11-14,10.8,0.800000012
