experiment,timing,plot,date_forage_quadrat,forage_quadrat_dimensions,forage_quadrat_wet_grams_with_bag,forage_quadrat_dry_grams_with_bag,forage_quadrat_dry_grams_no_bag,date_grain_quadrat,grain_quadrat_dimensions,grain_quadrat_wet_grams,grain_quadrat_dry_grams,grain_quadrat_seedhead_count,grain_quadrat_threshed_grams,date_grain_combine,grain_combine_dimensions,grain_combine_yield
dish,fall,212,5/6/2024,0.152258,45.4,37.5,2,,,,,,,,,
dish,fall,213,5/6/2024,0.152258,53.5,39.3,4,,,,,,,,,
dish,fall,214,5/6/2024,0.152258,100.7,48.1,12.3,,,,,,,,,
dish,fall,215,5/6/2024,0.152258,90,47.2,11.3,,,,,,,,,
dish,fall,216,5/6/2024,0.152258,55.9,40.6,4.6,,,,,,,,,
dish,fall,217,5/6/2024,0.152258,63.7,41.3,5.6,,,,,,,,,
dish,fall,218,5/6/2024,0.152258,82.2,45.5,9.3,,,,,,,,,
dish,fall,219,5/6/2024,0.152258,84.9,46,9.9,,,,,,,,,
dish,fall,301,5/6/2024,0.152258,85.5,46.4,10.2,,,,,,,,,
dish,fall,302,5/6/2024,0.152258,83.8,44.9,9.4,,,,,,,,,
dish,fall,303,5/6/2024,0.152258,59.5,40.6,4.4,,,,,,,,,
dish,fall,304,5/6/2024,0.152258,73.7,43.6,7.6,,,,,,,,,
dish,fall,305,5/6/2024,0.152258,74.2,44.1,8.2,,,,,,,,,
dish,fall,306,5/6/2024,0.152258,90.4,47.5,11.1,,,,,,,,,
dish,fall,307,5/6/2024,0.152258,67.1,43,6.3,,,,,,,,,
dish,fall,308,5/6/2024,0.152258,57.3,40.4,4.2,,,,,,,,,
dish,fall,309,5/6/2024,0.152258,78.8,45.7,9.2,,,,,,,,,
dish,fall,310,5/6/2024,0.152258,88.7,46.5,11.1,,,,,,,,,
dish,fall,311,5/6/2024,0.152258,66,42.6,6.4,,,,,,,,,
dish,fall,312,5/6/2024,0.152258,136.7,58.2,20.5,,,,,,,,,
dish,fall,313,5/6/2024,0.152258,104.4,50.9,14.2,,,,,,,,,
dish,fall,314,5/6/2024,0.152258,85.1,46.8,10,,,,,,,,,
dish,fall,315,5/6/2024,0.152258,110.2,53.7,14.8,,,,,,,,,
dish,fall,316,5/6/2024,0.152258,62.9,42.4,5.1,,,,,,,,,
dish,fall,317,5/6/2024,0.152258,55.6,40.4,4.2,,,,,,,,,
dish,fall,318,5/6/2024,0.152258,80.3,45.5,8.9,,,,,,,,,
dish,fall,319,5/6/2024,0.152258,61.1,42.4,5.4,,,,,,,,,
dish,spring,401,,,,,,,,,,,,,,
dish,spring,402,,,,,,,,,,,,,,
dish,spring,403,,,,,,,,,,,,,,
dish,spring,404,,,,,,,,,,,,,,
dish,spring,405,,,,,,,,,,,,,,
dish,spring,406,,,,,,,,,,,,,,
dish,spring,407,,,,,,,,,,,,,,
dish,spring,408,,,,,,,,,,,,,,
dish,spring,409,,,,,,,,,,,,,,
dish,spring,410,,,,,,,,,,,,,,
dish,spring,411,,,,,,,,,,,,,,
dish,spring,412,,,,,,,,,,,,,,
dish,spring,413,,,,,,,,,,,,,,
dish,spring,414,,,,,,,,,,,,,,
dish,spring,415,,,,,,,,,,,,,,
dish,spring,416,,,,,,,,,,,,,,
dish,spring,417,,,,,,,,,,,,,,
dish,spring,418,,,,,,,,,,,,,,
dish,spring,419,,,,,,,,,,,,,,
dish,spring,501,,,,,,,,,,,,,,
dish,spring,502,,,,,,,,,,,,,,
dish,spring,503,,,,,,,,,,,,,,
dish,spring,504,,,,,,,,,,,,,,
dish,spring,505,,,,,,,,,,,,,,
dish,spring,506,,,,,,,,,,,,,,
dish,spring,507,,,,,,,,,,,,,,
dish,spring,508,,,,,,,,,,,,,,
dish,spring,509,,,,,,,,,,,,,,
dish,spring,510,,,,,,,,,,,,,,
dish,spring,511,,,,,,,,,,,,,,
dish,spring,512,,,,,,,,,,,,,,
dish,spring,513,,,,,,,,,,,,,,
dish,spring,514,,,,,,,,,,,,,,
dish,spring,515,,,,,,,,,,,,,,
dish,spring,516,,,,,,,,,,,,,,
dish,spring,517,,,,,,,,,,,,,,
dish,spring,518,,,,,,,,,,,,,,
dish,spring,519,,,,,,,,,,,,,,
dish,spring,601,,,,,,,,,,,,,,
dish,spring,602,,,,,,,,,,,,,,
dish,spring,603,,,,,,,,,,,,,,
dish,spring,604,,,,,,,,,,,,,,
dish,spring,605,,,,,,,,,,,,,,
dish,spring,606,,,,,,,,,,,,,,
dish,spring,607,,,,,,,,,,,,,,
dish,spring,608,,,,,,,,,,,,,,
dish,spring,609,,,,,,,,,,,,,,
dish,spring,610,,,,,,,,,,,,,,
dish,spring,611,,,,,,,,,,,,,,
dish,spring,612,,,,,,,,,,,,,,
dish,spring,613,,,,,,,,,,,,,,
dish,spring,614,,,,,,,,,,,,,,
dish,spring,615,,,,,,,,,,,,,,
dish,spring,616,,,,,,,,,,,,,,
dish,spring,617,,,,,,,,,,,,,,
dish,spring,618,,,,,,,,,,,,,,
dish,spring,619,,,,,,,,,,,,,,
