Plot Details,,,,,,Coverage Percentages(accessions of 5%),,,,Dominant Weed Species,,,Kernza Growth Stage,,,,,quadrat harvest possible
,,6/4/2024,,32,6061,20,80,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,33,6004,30,70,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,34,winter_wheat,0,0,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,35,6005,30,70,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,41,6005,80,20,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,42,winter_wheat,0,0,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,43,6059,70,30,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,44,6061,20,80,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/4/2024,,45,6004,50,50,0,,thinopyrum intermedium,Bromus tectorum,crepis tectorum,,,,,,
,,6/11/2024,,11,6061,9,0,1,,,,,,,,,,yes
,,6/11/2024,,12,6004,8,0,2,,,,,,,,,,yes
,,6/11/2024,,13,winter_wheat,0,0,0,,,,,,,,,,no
,,6/11/2024,,14,6005,7,0,3,,,,,,,,,,yes
,,6/11/2024,,15,6059,2,0,8,,,,,,,,,,no
,,6/11/2024,,21,6004,10,0,0,,,,,,,,,,yes
,,6/11/2024,,22,6061,5,0,5,,,,,,,,,,no
,,6/11/2024,,23,winter_wheat,0,0,0,,,,,,,,,,no
,,6/11/2024,,24,6059,1,0,9,,,,,,,,,,no
,,6/11/2024,,25,6005,4,0,6,,,,,,,,,,yes
,,6/11/2024,,31,6059,1,0,9,,,,,,,,,,no
,,6/11/2024,,32,6061,4,0,6,,,,,,,,,,no
,,6/11/2024,,33,6004,7,0,3,,,,,,,,,,yes
,,6/11/2024,,34,winter_wheat,0,0,0,,,,,,,,,,no
,,6/11/2024,,35,6005,1,0,9,,,,,,,,,,no
,,6/11/2024,,41,6005,7,0,3,,,,,,,,,,yes
,,6/11/2024,,42,winter_wheat,0,0,0,,,,,,,,,,no
,,6/11/2024,,43,6059,9,0,1,,,,,,,,,,yes
,,6/11/2024,,44,6061,8,0,2,,,,,,,,,,yes
,,6/11/2024,,45,6004,6,0,4,,,,,,,,,,yes
