experiment,plot,timing,trt_code,herbicide,rate,treatment,date_forage_quadrat,forage_quadrat_dimensions,forage_quadrat_wet_grams_with_bag,forage_quadrat_wet_grams_no_bag,forage_quadrat_dry_grams_with_bag,forage_quadrat_dry_grams_no_bag,forage_dmyield_Mg_ha,date_grain_combine,combine_rows_harvested,combine_operator_error,combine_operator_note,combine_operator_rating,grain_combine_dimensions,grain_combine_yield_uncleaned_inbag_dry_grams,grain_combine_bagtare,grain_combine_yield_uncleaned_nobag_dry_grams,grain_combine_yield_uncleaned_kgha
dish,405,spring,5,prowl,0.5,prowl_0.5,5/23/2024,0.152258,,161.4,,33,2.1673738,08/21/2024,4,,,,6048,104.8,19.1,85.7,219.6
dish,406,spring,6,prowl,1,prowl_1,5/23/2024,0.152258,,174.8,,37,2.430085775,08/21/2024,4,,,,6048,157.3,19.1,138.2,354.2
dish,407,spring,7,prowl,2,prowl_2,5/23/2024,0.152258,,131.6,,27.6,1.812712633,08/21/2024,4,,,,6048,163.2,19.1,144.1,369.3
dish,408,spring,8,dual,0.5,dual_0.5,5/23/2024,0.152258,,198.5,,38.8,2.548306165,08/21/2024,4,,,,6048,224.5,19.1,205.4,526.4
dish,409,spring,9,dual,1,dual_1,5/23/2024,0.152258,,239.9,,46.7,3.067162317,08/21/2024,4,,,,6048,212.1,19.1,193,494.6
dish,410,spring,10,dual,2,dual_2,5/23/2024,0.152258,,177.8,,36.4,2.390678979,08/21/2024,4,,,,6048,153.6,19.1,134.5,344.7
dish,411,spring,11,axial xl,0.5,axial xl_0.5,5/23/2024,0.152258,,114.1,,23.6,1.550000657,08/21/2024,4,,,,6048,136.2,19.1,117.1,300.1
dish,412,spring,12,axial xl,1,axial xl_1,5/23/2024,0.152258,,155.8,,32.6,2.141102602,08/21/2024,3,,,,4536,118.7,19.1,99.6,340.3
dish,413,spring,13,axial xl,2,axial xl_2,5/23/2024,0.152258,,263,,51.1,3.35614549,08/21/2024,4,,,,6048,171.7,19.1,152.6,391.1
dish,414,spring,14,outrider,0.5,outrider_0.5,5/23/2024,0.152258,,162,,34.4,2.259322991,08/21/2024,4,,double,,6048,175.3,19.1,156.2,400.3
dish,415,spring,15,outrider,1,outrider_1,5/23/2024,0.152258,,202.7,,44.4,2.916102931,08/21/2024,4,,,,6048,123.2,19.1,104.1,266.8
dish,416,spring,16,outrider,2,outrider_2,5/23/2024,0.152258,,104.4,,22.2,1.458051465,08/21/2024,4,,,,6048,200.1,19.1,181,463.9
dish,417,spring,17,everest,0.5,everest_0.5,5/23/2024,0.152258,,181,,35.1,2.305297587,08/21/2024,4,,,,6048,180.5,19.1,161.4,413.6
dish,418,spring,18,everest,1,everest_1,5/23/2024,0.152258,,216.5,,41.4,2.719068949,08/21/2024,4,,,,6048,126,19.1,106.9,274.0
dish,419,spring,19,everest,2,everest_2,5/23/2024,0.152258,,179.3,,37.1,2.436653575,08/21/2024,4,,,,6048,169.8,19.1,150.7,386.2
dish,501,spring,16,outrider,2,outrider_2,5/23/2024,0.152258,,298.3,,55,3.612289666,08/21/2024,4,,,,6048,157.2,19.1,138.1,353.9
dish,502,spring,7,prowl,2,prowl_2,5/23/2024,0.152258,,188,,38.7,2.541738365,08/21/2024,3,,poor,poor,4536,37.2,19.1,18.1,61.8
dish,503,spring,13,axial xl,2,axial xl_2,5/23/2024,0.152258,,392.2,,70,4.597459575,08/21/2024,4,,,,6048,90.5,19.1,71.4,183.0
dish,504,spring,8,dual,0.5,dual_0.5,5/23/2024,0.152258,,179.5,,39,2.561441763,08/21/2024,4,,double,,6048,195.1,19.1,176,451.1
dish,505,spring,12,axial xl,1,axial xl_1,5/23/2024,0.152258,,168.9,,35.1,2.305297587,08/21/2024,4,,,,6048,142.5,19.1,123.4,316.3
dish,506,spring,2,finesse,0.5,finesse_0.5,5/23/2024,0.152258,,130.7,,29.8,1.957204219,08/21/2024,4,,,,6048,181.3,19.1,162.2,415.7
dish,507,spring,5,prowl,0.5,prowl_0.5,5/23/2024,0.152258,,116.7,,24.2,1.589407453,08/21/2024,4,,,,6048,159.8,19.1,140.7,360.6
dish,508,spring,3,finesse,1,finesse_1,5/23/2024,0.152258,,164.8,,31.6,2.075424608,08/21/2024,4,,,,6048,151.4,19.1,132.3,339.1
dish,509,spring,1,control,0,control_0,5/23/2024,0.152258,,216.8,,45.1,2.962077526,08/21/2024,4,,,,6048,190.6,19.1,171.5,439.5
dish,510,spring,9,dual,1,dual_1,5/23/2024,0.152258,,264.6,,57,3.743645654,08/21/2024,4,,,,6048,195.4,19.1,176.3,451.8
dish,511,spring,18,everest,1,everest_1,5/23/2024,0.152258,,299.6,,56.6,3.717374457,08/21/2024,4,,,,6048,137.3,19.1,118.2,302.9
dish,512,spring,4,finesse,2,finesse_2,5/23/2024,0.152258,,140.2,,30.3,1.990043216,08/21/2024,3,,,,4536,155.3,19.1,136.2,465.4
dish,513,spring,15,outrider,1,outrider_1,5/23/2024,0.152258,,280.8,,56.3,3.697671058,08/21/2024,4,,,excellent,6048,144.9,19.1,125.8,322.4
dish,514,spring,19,everest,2,everest_2,5/23/2024,0.152258,,163.2,,33.2,2.180509399,08/21/2024,4,,,,6048,185.8,19.1,166.7,427.2
dish,515,spring,10,dual,2,dual_2,5/23/2024,0.152258,,44.7,,11.5,0.75529693,08/21/2024,4,,,,6048,120.3,19.1,101.2,259.4
dish,516,spring,17,everest,0.5,everest_0.5,5/23/2024,0.152258,,204.4,,41,2.692797751,08/21/2024,4,,,,6048,141.4,19.1,122.3,313.4
dish,517,spring,14,outrider,0.5,outrider_0.5,5/23/2024,0.152258,,224,,46.4,3.047458918,08/21/2024,4,,,,6048,174.2,19.1,155.1,397.5
dish,518,spring,11,axial xl,0.5,axial xl_0.5,5/23/2024,0.152258,,88,,17.3,1.136229295,08/21/2024,4,,,,6048,170.1,19.1,151,387.0
dish,519,spring,6,prowl,1,prowl_1,5/23/2024,0.152258,,232.7,,48.1,3.159111508,08/21/2024,4,,,,6048,131.2,19.1,112.1,287.3
dish,601,spring,13,axial xl,2,axial xl_2,5/23/2024,0.152258,,157.6,,32.1,2.108263605,08/21/2024,4,,,,6048,148.5,19.1,129.4,331.6
dish,602,spring,5,prowl,0.5,prowl_0.5,5/23/2024,0.152258,,132.5,,29,1.904661824,08/21/2024,4,,,,6048,132.8,19.1,113.7,291.4
dish,603,spring,14,outrider,0.5,outrider_0.5,5/23/2024,0.152258,,242.8,,45.7,3.001484323,08/21/2024,4,,double,,6048,161.3,19.1,142.2,364.4
dish,604,spring,1,control,0,control_0,5/23/2024,0.152258,,165.9,,35.1,2.305297587,08/21/2024,4,,,,6048,134.1,19.1,115,294.7
dish,605,spring,4,finesse,2,finesse_2,5/23/2024,0.152258,,112.2,,25.3,1.661653246,08/21/2024,4,,,,6048,135.8,19.1,116.7,299.1
dish,606,spring,6,prowl,1,prowl_1,5/23/2024,0.152258,,196,,43.3,2.843857137,08/21/2024,4,,,,6048,92.1,19.1,73,187.1
dish,607,spring,9,dual,1,dual_1,5/23/2024,0.152258,,48.8,,12.5,0.820974924,08/21/2024,4,,,,6048,136.4,19.1,117.3,300.6
dish,608,spring,7,prowl,2,prowl_2,5/23/2024,0.152258,,170.8,,31.4,2.062289009,08/21/2024,4,,,,6048,131.1,19.1,112,287.0
dish,609,spring,2,finesse,0.5,finesse_0.5,5/23/2024,0.152258,,215.8,,43.6,2.863560535,08/21/2024,4,,,,6048,152.6,19.1,133.5,342.1
dish,610,spring,16,outrider,2,outrider_2,5/23/2024,0.152258,,141.1,,30.9,2.029450012,08/21/2024,4,,,,6048,146.4,19.1,127.3,326.2
dish,611,spring,17,everest,0.5,everest_0.5,5/23/2024,0.152258,,228,,45.3,2.975213125,08/21/2024,4,,,,6048,138.3,19.1,119.2,305.5
dish,612,spring,12,axial xl,1,axial xl_1,5/23/2024,0.152258,,197.7,,41.3,2.712501149,08/21/2024,4,,,,6048,186.2,19.1,167.1,428.2
dish,613,spring,18,everest,1,everest_1,5/23/2024,0.152258,,136.9,,29.1,1.911229623,08/21/2024,4,,double,,6048,186.7,19.1,167.6,429.5
dish,614,spring,10,dual,2,dual_2,5/23/2024,0.152258,,51.6,,14,0.919491915,08/21/2024,4,,,poor,6048,128.2,19.1,109.1,279.6
dish,615,spring,11,axial xl,0.5,axial xl_0.5,5/23/2024,0.152258,,144,,30.8,2.022882213,08/21/2024,4,,,,6048,126.7,19.1,107.6,275.8
dish,616,spring,19,everest,2,everest_2,5/23/2024,0.152258,,73.1,,17.3,1.136229295,08/21/2024,4,,,,6048,129.1,19.1,110,281.9
dish,617,spring,8,dual,0.5,dual_0.5,5/23/2024,0.152258,,119.3,,26.3,1.72733124,08/21/2024,4,,,,6048,113,19.1,93.9,240.7
dish,618,spring,3,finesse,1,finesse_1,5/23/2024,0.152258,,107.6,,21.5,1.41207687,08/21/2024,4,,,,6048,99.1,19.1,80,205.0
dish,619,spring,15,outrider,1,outrider_1,5/23/2024,0.152258,,133.3,,29.1,1.911229623,08/21/2024,4,,,,6048,196.8,19.1,177.7,455.4
