"","experiment","plot","timing","trt_code","herbicide","rate","treatment","forage_quadrat_dry_grams_no_bag","dmyield_g_m2","dmyield_Mg_ha"
"29","dish",210,"fall",9,"dual",1,"dual_1",14.9,97.8602109577165,0.978602109577165
"30","dish",211,"fall",18,"everest",1,"everest_1",6.3,41.3771361767526,0.413771361767526
"31","dish",212,"fall",4,"finesse",2,"finesse_2",2,13.1355987862707,0.131355987862707
"32","dish",213,"fall",15,"outrider",1,"outrider_1",4,26.2711975725413,0.262711975725413
"33","dish",214,"fall",19,"everest",2,"everest_2",12.3,80.7839325355646,0.807839325355646
"34","dish",215,"fall",10,"dual",2,"dual_2",11.3,74.2161331424293,0.742161331424293
"35","dish",216,"fall",17,"everest",0.5,"everest_0.5",4.6,30.2118772084225,0.302118772084225
"36","dish",217,"fall",14,"outrider",0.5,"outrider_0.5",5.6,36.7796766015579,0.367796766015579
"37","dish",218,"fall",11,"axial xl",0.5,"axial xl_0.5",9.3,61.0805343561586,0.610805343561586
"38","dish",219,"fall",6,"prowl",1,"prowl_1",9.9,65.0212139920398,0.650212139920398
"39","dish",301,"fall",13,"axial xl",2,"axial xl_2",10.2,66.9915538099804,0.669915538099804
"40","dish",302,"fall",5,"prowl",0.5,"prowl_0.5",9.4,61.7373142954722,0.617373142954721
"41","dish",303,"fall",14,"outrider",0.5,"outrider_0.5",4.4,28.8983173297955,0.288983173297955
"42","dish",304,"fall",1,"control",0,"control_0",7.6,49.9152753878286,0.499152753878285
"43","dish",305,"fall",4,"finesse",2,"finesse_2",8.2,53.8559550237097,0.538559550237097
"44","dish",306,"fall",6,"prowl",1,"prowl_1",11.1,72.9025732638022,0.729025732638022
"45","dish",307,"fall",9,"dual",1,"dual_1",6.3,41.3771361767526,0.413771361767526
"46","dish",308,"fall",7,"prowl",2,"prowl_2",4.2,27.5847574511684,0.275847574511684
"47","dish",309,"fall",2,"finesse",0.5,"finesse_0.5",9.2,60.4237544168451,0.604237544168451
"48","dish",310,"fall",16,"outrider",2,"outrider_2",11.1,72.9025732638022,0.729025732638022
"49","dish",311,"fall",17,"everest",0.5,"everest_0.5",6.4,42.0339161160662,0.420339161160661
"50","dish",312,"fall",12,"axial xl",1,"axial xl_1",20.5,134.639887559274,1.34639887559274
"51","dish",313,"fall",18,"everest",1,"everest_1",14.2,93.2627513825218,0.932627513825218
"52","dish",314,"fall",10,"dual",2,"dual_2",10,65.6779939313534,0.656779939313534
"53","dish",315,"fall",11,"axial xl",0.5,"axial xl_0.5",14.8,97.203431018403,0.97203431018403
"54","dish",316,"fall",19,"everest",2,"everest_2",5.1,33.4957769049902,0.334957769049902
"55","dish",317,"fall",8,"dual",0.5,"dual_0.5",4.2,27.5847574511684,0.275847574511684
"56","dish",318,"fall",3,"finesse",1,"finesse_1",8.9,58.4534145989045,0.584534145989045
"57","dish",319,"fall",15,"outrider",1,"outrider_1",5.4,35.4661167229308,0.354661167229308
"58","dish",401,"spring",1,"control",0,"control_0",41.6,273.22045475443,2.7322045475443
"59","dish",402,"spring",2,"finesse",0.5,"finesse_0.5",45.7,300.148432266285,3.00148432266285
"60","dish",403,"spring",3,"finesse",1,"finesse_1",22,144.491586648977,1.44491586648977
"61","dish",404,"spring",4,"finesse",2,"finesse_2",26,170.762784221519,1.70762784221519
"62","dish",405,"spring",5,"prowl",0.5,"prowl_0.5",33,216.737379973466,2.16737379973466
"63","dish",406,"spring",6,"prowl",1,"prowl_1",37,243.008577546007,2.43008577546007
"64","dish",407,"spring",7,"prowl",2,"prowl_2",27.6,181.271263250535,1.81271263250535
"65","dish",408,"spring",8,"dual",0.5,"dual_0.5",38.8,254.830616453651,2.54830616453651
"66","dish",409,"spring",9,"dual",1,"dual_1",46.7,306.71623165942,3.0671623165942
"67","dish",410,"spring",10,"dual",2,"dual_2",36.4,239.067897910126,2.39067897910126
"68","dish",411,"spring",11,"axial xl",0.5,"axial xl_0.5",23.6,155.000065677994,1.55000065677994
"69","dish",412,"spring",12,"axial xl",1,"axial xl_1",32.6,214.110260216212,2.14110260216212
"70","dish",413,"spring",13,"axial xl",2,"axial xl_2",51.1,335.614548989216,3.35614548989216
"71","dish",414,"spring",14,"outrider",0.5,"outrider_0.5",34.4,225.932299123856,2.25932299123856
"72","dish",415,"spring",15,"outrider",1,"outrider_1",44.4,291.610293055209,2.91610293055209
"73","dish",416,"spring",16,"outrider",2,"outrider_2",22.2,145.805146527604,1.45805146527604
"74","dish",417,"spring",17,"everest",0.5,"everest_0.5",35.1,230.52975869905,2.3052975869905
"75","dish",418,"spring",18,"everest",1,"everest_1",41.4,271.906894875803,2.71906894875803
"76","dish",419,"spring",19,"everest",2,"everest_2",37.1,243.665357485321,2.43665357485321
"77","dish",501,"spring",16,"outrider",2,"outrider_2",55,361.228966622443,3.61228966622443
"78","dish",502,"spring",7,"prowl",2,"prowl_2",38.7,254.173836514338,2.54173836514337
"79","dish",503,"spring",13,"axial xl",2,"axial xl_2",70,459.745957519474,4.59745957519473
"80","dish",504,"spring",8,"dual",0.5,"dual_0.5",39,256.144176332278,2.56144176332278
"81","dish",505,"spring",12,"axial xl",1,"axial xl_1",35.1,230.52975869905,2.3052975869905
"82","dish",506,"spring",2,"finesse",0.5,"finesse_0.5",29.8,195.720421915433,1.95720421915433
"83","dish",507,"spring",5,"prowl",0.5,"prowl_0.5",24.2,158.940745313875,1.58940745313875
"84","dish",508,"spring",3,"finesse",1,"finesse_1",31.6,207.542460823077,2.07542460823077
"85","dish",509,"spring",1,"control",0,"control_0",45.1,296.207752630404,2.96207752630404
"86","dish",510,"spring",9,"dual",1,"dual_1",57,374.364565408714,3.74364565408714
"87","dish",511,"spring",18,"everest",1,"everest_1",56.6,371.73744565146,3.7173744565146
"88","dish",512,"spring",4,"finesse",2,"finesse_2",30.3,199.004321612001,1.99004321612001
"89","dish",513,"spring",15,"outrider",1,"outrider_1",56.3,369.767105833519,3.69767105833519
"90","dish",514,"spring",19,"everest",2,"everest_2",33.2,218.050939852093,2.18050939852093
"91","dish",515,"spring",10,"dual",2,"dual_2",11.5,75.5296930210564,0.755296930210563
"92","dish",516,"spring",17,"everest",0.5,"everest_0.5",41,269.279775118549,2.69279775118549
"93","dish",517,"spring",14,"outrider",0.5,"outrider_0.5",46.4,304.74589184148,3.0474589184148
"94","dish",518,"spring",11,"axial xl",0.5,"axial xl_0.5",17.3,113.622929501241,1.13622929501241
"95","dish",519,"spring",6,"prowl",1,"prowl_1",48.1,315.91115080981,3.1591115080981
"96","dish",601,"spring",13,"axial xl",2,"axial xl_2",32.1,210.826360519644,2.10826360519644
"97","dish",602,"spring",5,"prowl",0.5,"prowl_0.5",29,190.466182400925,1.90466182400925
"98","dish",603,"spring",14,"outrider",0.5,"outrider_0.5",45.7,300.148432266285,3.00148432266285
"99","dish",604,"spring",1,"control",0,"control_0",35.1,230.52975869905,2.3052975869905
"100","dish",605,"spring",4,"finesse",2,"finesse_2",25.3,166.165324646324,1.66165324646324
"101","dish",606,"spring",6,"prowl",1,"prowl_1",43.3,284.38571372276,2.8438571372276
"102","dish",607,"spring",9,"dual",1,"dual_1",12.5,82.0974924141917,0.820974924141917
"103","dish",608,"spring",7,"prowl",2,"prowl_2",31.4,206.22890094445,2.0622890094445
"104","dish",609,"spring",2,"finesse",0.5,"finesse_0.5",43.6,286.356053540701,2.86356053540701
"105","dish",610,"spring",16,"outrider",2,"outrider_2",30.9,202.945001247882,2.02945001247882
"106","dish",611,"spring",17,"everest",0.5,"everest_0.5",45.3,297.521312509031,2.97521312509031
"107","dish",612,"spring",12,"axial xl",1,"axial xl_1",41.3,271.250114936489,2.71250114936489
"108","dish",613,"spring",18,"everest",1,"everest_1",29.1,191.122962340238,1.91122962340238
"109","dish",614,"spring",10,"dual",2,"dual_2",14,91.9491915038947,0.919491915038947
"110","dish",615,"spring",11,"axial xl",0.5,"axial xl_0.5",30.8,202.288221308568,2.02288221308568
"111","dish",616,"spring",19,"everest",2,"everest_2",17.3,113.622929501241,1.13622929501241
"112","dish",617,"spring",8,"dual",0.5,"dual_0.5",26.3,172.733124039459,1.72733124039459
"113","dish",618,"spring",3,"finesse",1,"finesse_1",21.5,141.20768695241,1.4120768695241
"114","dish",619,"spring",15,"outrider",1,"outrider_1",29.1,191.122962340238,1.91122962340238
