collection,date,type,name,population,plot,plant height (cm),leaf count,stem circumference (cm),light penetration,node number,distance between node and tassel (cm),stage,height of lowest ear (cm),rowlength,rowlength_totalplantcount,rowlength_totalplantbiomassnocob_wet_g,rowlength_totalcobcount,rowlength_totalcobbiomass_wet_g,subsample_specs,stover_wet_g,stover_dry_g,stover_Ncontent,grain_dry_g,grain_Ncontent,grain_moisturePercent_atharvest,grain_testweight_lbbu_atharvest,grain_moisturePercent_afterdryer,grain_testweight_lbbu_afterdryer,grain_moisturePercent_afterdryerandaspiration,grain_testweight_lbbu_afterdryerandaspiration,notes
growth monitoring,10/16/2024,short,PR106-21SSC,39000,7,197,13,10,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/16/2024,short,PR106-20SSC,39000,6,206,12,9,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/16/2024,short,PR105-20SSC,39000,5,199,12,10,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/16/2024,conventional,DKC56-65Rib,32000,4,263,13,8.5,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/16/2024,short,PR106-21SSC,39000,3,187,14,9,0.5,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/16/2024,short,PR106-20SSC,39000,2,204,12,10.5,0,,,R6,,,,,,,,,,,,,,,,,,,
growth monitoring,10/16/2024,short,PR105-20SSC,39000,1,192,13,10.5,0,,,R6,,,,,,,,,,,,,,,,,,,
harvest,10/18/2024,conventional,DKC56-65Rib,32000,12,,,,,,,,,"2 meters long at 30"" row spacing",12,2950,12,2506,"3 plants for stover analysis, 5 cobs",691.8,326.9,,799,,18.9,56.1,7.3,59.2,7.3,60.4,the ground biomass subsample was actually quite high in water content. Needed to be put back in dryer after grinding out of concern for mold. This may make the moisture content determination null for this plot as it appears it didn't fully dry down. Unclear why this plot dried down more slowly than others. 
harvest,10/18/2024,short,PR106-21SSC,39000,11,,,,,,,,,"2 meters long at 30"" row spacing",16,4364,15,2680,"3 plants for stover analysis, 5 cobs",625.8,337.8,,627,,20.6,56.5,7.7,59.6,7.5,61.3,
harvest,10/18/2024,short,PR106-20SSC,39000,10,,,,,,,,,"2 meters long at 30"" row spacing",19,6168,18,3786,"3 plants for stover analysis, 5 cobs",488,218.6,,631,,24.9,54.2,9.3,59.8,9.2,60.4,
harvest,10/18/2024,short,PR105-20SSC,39000,9,,,,,,,,,"2 meters long at 30"" row spacing",16,3206,15,3470,"3 plants for stover analysis, 5 cobs",594.3,267.7,,733,,21.7,52.9,7.8,58.8,7.7,59.9,
harvest,10/18/2024,conventional,DKC56-65Rib,32000,8,,,,,,,,,"2 meters long at 30"" row spacing",12,4770,11,2688,"3 plants for stover analysis, 5 cobs",733.3,312.1,,790,,22.2,55.6,7.2,59.6,7.1,59.9,
harvest,10/18/2024,short,PR106-21SSC,39000,7,,,,,,,,,"2 meters long at 30"" row spacing",17,5284,15,2300,"3 plants for stover analysis, 5 cobs",617,306.9,,511,,22.1,56.1,7.5,59.1,7.4,60.8,
harvest,10/18/2024,short,PR106-20SSC,39000,6,,,,,,,,,"2 meters long at 30"" row spacing",18,2958,17,3378,"3 plants for stover analysis, 5 cobs",498.5,248,,703,,17.1,57.3,7.8,59,7.8,60.2,
harvest,10/18/2024,short,PR105-20SSC,39000,5,,,,,,,,,"2 meters long at 30"" row spacing",18,3066,17,3010,"3 plants for stover analysis, 5 cobs",400.8,209.8,,692,,15.2,57.6,8.9,59.7,8.6,60.4,
harvest,10/18/2024,conventional,DKC56-65Rib,32000,4,,,,,,,,,"2 meters long at 30"" row spacing",12,1716,10,1856,"3 plants for stover analysis, 5 cobs",394.9,202.3,,818,,15.9,57.4,6.9,58.5,6.9,59.5,
harvest,10/18/2024,short,PR106-21SSC,39000,3,,,,,,,,,"2 meters long at 30"" row spacing",19,3043,16,2722,"3 plants for stover analysis, 5 cobs",487.7,226.3,,643,,16.7,55.6,7.7,60.1,7.6,61.5,insufficient pollination of ears. A couple other plots had this and it was noticeable. Could be a function of PR106-21SSC
harvest,10/18/2024,short,PR106-20SSC,39000,2,,,,,,,,,"2 meters long at 30"" row spacing",16,3274,16,3218,"3 plants for stover analysis, 5 cobs",571.1,256.8,,652,,18.5,56.2,7.7,60.2,7.5,61.5,
harvest,10/18/2024,short,PR105-20SSC,39000,1,,,,,,,,,"2 meters long at 30"" row spacing",19,1648,20,2110,"3 plants for stover analysis, 5 cobs",157.1,139.7,,517,,16.2,55.8,6.5,55.9,6.5,57.3,
